1651-08-17,ЫQРЛ704,Регулятор тяги двигателя,РТД 704QЫРЛ 372
1861-01-23,ЭVФЛ229,Вакуумная камера,ВК 229VЭФЛ 162
1035-12-07,ЛIЧФ162,Резервная система питания,РСП 162IЛЧФ 988
1735-04-15,РCRC150,Лазерный прицел,ЛП 150CRCР 288
1803-01-15,ВJYH866,Запасной контейнер,ЗК 866JYHВ 220
1661-10-27,JСPК372,Система санитарной обработки,ССО 372JPСК 362
1310-01-02,QXЮH414,Разделитель зарядки,РЗ 414QXHЮ 713
1563-09-08,ЯОYF233,Система защиты от метеоритов,С 233YFЯО 460
1520-08-02,ЖЕЖХ992,Инерциальная навигационная система,ИНС 992ЖЕЖХ 503
1039-11-06,ХХЩR555,Система газораспределения,СГ 555RХХЩ 984
1356-11-16,LОDЛ468,Солнечные батареи,СБ 468LDОЛ 667
1791-09-02,VSOH221,Система уничтожения мусора,СУМ 221VSOH 232
1041-02-07,DВСЗ701,Гидрозапорная система,ГС 701DВСЗ 982
1232-03-15,TАЮМ813,Теплообменник,Т 813TАЮМ 791
1928-02-02,RУEO123,Крепежные болты,КБ 123REOУ 95
1949-02-10,УЯPW232,Наземная ракетная платформа,НРП 232PWУЯ 74
0919-03-19,QJМY369,Регулятор тяги двигателя,РТД 369QJYМ 1104
1827-03-03,ЬZЮX122,Контроллер топлива,КТ 122ZXЬЮ 196
1971-06-04,DЛУF681,Контроллер топлива,КТ 681DFЛУ 52
1579-05-05,UWЧO689,Радиоизотопный генератор,РГ 689UWOЧ 444
1567-12-27,TАHГ487,Гидравлическая система,ГС 487THАГ 456
1227-05-20,WHАR275,Батарея электронных блоков,БЭБ 275WHRА 796
0903-03-20,TVGG694,Информационно-управляющая система,ИС 694TVGG 1120
1204-12-27,AJОN902,Теплообменник,Т 902AJNО 819
1419-02-21,XAЬT527,Реверсивная тяга,РТ 527XATЬ 604
0977-10-16,ЩEAI270,Газовый генератор,ГГ 270EAIЩ 1046
1614-01-01,ПUПЭ8,Радиоизотопный генератор,РГ 8UППЭ 409
1464-06-28,ВDVЫ390,Корпусная панель,КП 390DVВЫ 559
1898-05-06,STXА51,Система стабилизации,СС 51STXА 125
0994-04-26,НИХZ164,Уровнемер топлива,УТ 164ZНИХ 1029
0952-07-05,ЭСНO344,Система вентиляции,СВ 344OЭСН 1071
1746-05-04,VЭУЭ293,Резервная система питания,РСП 293VЭУЭ 277
1487-01-21,ГЛГМ676,Спутниковая антенна,СА 676ГЛГМ 536
1585-10-18,ZZЭO494,Рулевая сопля,РС 494ZZOЭ 438
0958-01-09,ЩQГZ230,Ускоритель,У 230QZЩГ 1065
1016-09-19,ЩМФМ440,Гидрозапорная система,ГС 440ЩМФМ 1007
1351-02-10,НYZЮ647,Гидрозапорная система,ГС 647YZНЮ 672
1390-05-05,IНXК480,Фильтр газоотводного патрубка,ФГП 480IXНК 633
1414-12-20,FHТИ946,Навигационный модуль,НМ 946FHТИ 609
0970-04-21,LYОД50,Система дозаправки топлива,СДТ 50LYОД 1053
1303-02-24,HЪНЯ603,Азотный бак,АБ 603HЪНЯ 720
1848-03-21,ЖEЧR526,Генератор apu,ГA 526ERЖЧ 175
1574-02-14,FМUТ420,Система уничтожения мусора,СУМ 420FUМТ 449
1646-05-14,ТNLЛ5,Ускорительный блок,УБ 5NLТЛ 377
1175-09-11,DJЧЖ711,Радиоизотопный генератор,РГ 711DJЧЖ 848
1536-03-02,XСЧS583,Ускорительный блок,УБ 583XSСЧ 487
2005-09-18,ШMAЙ508,Корпусная панель,КП 508MAШЙ 18
1318-11-08,ДLMO836,Гидравлическая система,ГС 836LMOД 705
1892-10-12,VWEO966,Щит теплоизоляции,ЩТ 966VWEO 131
1204-12-03,ИJЗГ947,Внешний обтекатель,ВО 947JИЗГ 819
1292-12-11,RWLЫ241,Система дозаправки топлива,СДТ 241RWLЫ 731
1068-09-12,PZIР885,Газодинамическая система управления,ГСУ 885PZIР 955
1988-05-07,UЫРЩ767,Резервный блок питания,РБП 767UЫРЩ 35
1043-04-21,RЯЭF276,Ёмкость жидкого водорода,ЁЖВ 276RFЯЭ 980
1740-09-07,LТДR148,Резервный турбонасос,РТ 148LRТД 283
